state_clean,age_0_5,age_5_17,age_18_greater,total,youth_pct,demo_total,bio_total,update_load,bio_stress
100000,0,1,217,218,0.45871559633027525,2.0,0.0,0.009174311926605505,0.0
andaman and nicobar islands,479,32,0,511,6.262230919765166,7246.0,20698.0,54.68493150684932,40504.89236790607
andhra pradesh,112445,13746,1495,127686,10.76547154738969,2295582.0,3714633.0,47.07027395329167,29091.93646915089
arunachal pradesh,1957,2236,151,4344,51.47329650092081,36443.0,72394.0,25.054558011049725,16665.285451197054
assam,141235,66085,22877,230197,28.708019652732226,1012578.0,982722.0,8.667793237965743,4269.047815566667
bihar,262875,334802,11908,609585,54.922939376789124,4814350.0,4897587.0,15.932047212447813,8034.297103767317
chandigarh,2476,211,36,2723,7.748806463459419,83361.0,74482.0,57.96658097686375,27352.919573999265
chhattisgarh,82453,18769,1997,103219,18.183667735591317,2005434.0,2648729.0,45.09017719605887,25661.254226450557
dadra and nagar haveli,691,74,4,769,9.622886866059819,6268.0,27788.0,44.286085825747726,36135.24057217166
dadra and nagar haveli and daman and diu,131,21,21,173,12.138728323699421,3740.0,2532.0,36.25433526011561,14635.838150289017
daman and diu,127,14,0,141,9.929078014184398,2196.0,8948.0,79.0354609929078,63460.99290780142
delhi,69183,22296,3050,94529,23.58641263527595,1438934.0,1304362.0,29.02068148398904,13798.538014789112
goa,1916,254,163,2333,10.887269609944278,35120.0,68397.0,44.37076725246464,29317.188169738532
gujarat,193031,71182,16336,280549,25.372394840117057,1824327.0,3196514.0,17.896485105988614,11393.781478458308
haryana,88042,9110,1100,98252,9.27207588649595,1166140.0,1635454.0,28.514371208728576,16645.503399421894
himachal pradesh,16639,661,186,17486,3.780166990735445,149214.0,396234.0,31.19341187235503,22660.070913873955
jammu and kashmir,40539,8022,535,49096,16.33941665308783,407202.0,791647.0,24.418465862799412,16124.470425289228
jharkhand,98551,57539,1449,157539,36.52365446016542,1401189.0,2026297.0,21.756428566894545,12862.19285383302
karnataka,179262,33863,10110,223235,15.169216296727663,1695285.0,2635954.0,19.402150200461396,11807.978139628643
kerala,53737,18590,2675,75002,24.786005706514494,744952.0,1609730.0,31.394922802058613,21462.49433348444
ladakh,466,133,18,617,21.555915721231766,5735.0,5763.0,18.635332252836303,9340.35656401945
lakshadweep,192,10,1,203,4.926108374384237,1176.0,4820.0,29.536945812807883,23743.84236453202
madhya pradesh,367990,116381,9599,493970,23.56033767232828,2912938.0,5923771.0,17.889161285098286,11992.1675405389
maharashtra,278814,82116,8209,369139,22.245278878687973,5054602.0,9226139.0,38.686622112537556,24993.67176050214
manipur,5140,8053,263,13456,59.84690844233056,301549.0,282587.0,43.410820451843044,21000.81747919144
meghalaya,21179,53305,35287,109771,48.56018438385366,87378.0,87626.0,1.5942644232083154,798.2618360040448
mizoram,4136,1295,495,5926,21.85285183935201,41906.0,120329.0,27.376814039824502,20305.264934188323
nagaland,4512,9953,1122,15587,63.854494129723484,36791.0,109593.0,9.391415923526015,7031.05151729005
odisha,95883,22216,739,118838,18.69435702384759,1083307.0,2402877.0,29.335599723994008,20219.769770612093
orissa,3548,601,0,4149,14.485418173053748,28758.0,62083.0,21.894673415280792,14963.364666184623
pondicherry,1193,79,0,1272,6.210691823899371,7459.0,27587.0,27.55188679245283,21687.89308176101
puducherry,1585,116,44,1745,6.64756446991404,25304.0,42321.0,38.75358166189112,24252.72206303725
punjab,61224,12350,3172,76746,16.092043885023326,881895.0,1739671.0,34.15899199958304,22667.904516196282
rajasthan,229780,113123,5555,348458,32.463883739216776,2817615.0,3994955.0,19.550620160822824,11464.667190880966
sikkim,1054,1047,106,2207,47.43996375169914,20340.0,22820.0,19.55595831445401,10339.82782057091
tamil nadu,182313,37227,1249,220789,16.860894338033145,2212228.0,4698117.0,31.298411605650642,21278.763887693684
telangana,105918,24505,1151,131574,18.624500281210572,1629908.0,1737654.0,25.594433550701506,13206.666970678098
the dadra and nagar haveli and daman and diu,548,141,27,716,19.692737430167597,0.0,0.0,0.0,0.0
tripura,7376,3654,255,11285,32.37926451041206,138013.0,292155.0,38.11856446610545,25888.79042977404
uttar pradesh,521045,479682,17902,1018629,47.09094282609272,8542328.0,9577735.0,17.788677722703753,9402.574440743392
uttarakhand,31880,5479,339,37698,14.5339275293119,463637.0,764763.0,32.58528303888801,20286.56692662741
west  bengal,9,6,0,15,40.0,107.0,28.0,9.0,1866.6666666666667
west bangal,7,3,0,10,30.0,157.0,54.0,21.1,5400.0
west bengal,275400,91398,8510,375308,24.352798235049615,3872318.0,2524506.0,17.044198365076152,6726.491308471976
westbengal,4,3,0,7,42.857142857142854,152.0,31.0,26.142857142857142,4428.571428571428
